Game,Performance,Drive,Emulator,Update,Notes,Device
Braid Anniversary Edition,Perfect,Qualcomm 0.746.0,Sudachi,1.5.0,Docked runs at 40-60 FPS,Pocket 5
Bramble The Mountain King,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Black screen on Yuzu and Sudachi with both drivers,Pocket 5
Bravely Default II,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,some fps dips and sound crackling,Pocket 5
Breathedge,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.2,Crashes after intro in Yuzu and Sudachi with both drivers,Pocket 5
Brewmaster Beer Brewing Simulator,Poor,Qualcomm 0.746.0,Sudachi,1.0,Game won’t load at all,Pocket 5
Broforce,Perfect,Turnip 24.3.0 9v2,Yuzu,1.1.3132,Runs perfect. Solid fps the entire first mission and in menus.,Pocket 5
Brotato,Perfect,Qualcomm 0.746.0,Yuzu,1.0.0.3h,Perfect 60fps in docked mode,Pocket 5
Brothers,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"Perfect 60fps but some audio glitching that will bother you if you are sensitive to that, also the dual trigger dual stick controls of this game are ery uncomfortable on RP5",Pocket 5
Bud Spencer & Terence Hill – Slaps And Beans 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,60 fps Docked Mode 1080p DC: On Force Max: On Asyncrone: On,Pocket 5
Bug Fables,Perfect,Turnip 24.3.0 9v2,Citron,1.2.0.1,Runs perfectly at full speed,Pocket 5
Bugsnax,Great,Qualcomm 0.746.0,Yuzu,1.0.2,Almost perfect I am getting one weird black box isual glitch in the background but it plays great,Pocket 5
Bulletstorm Duke Of Switch Edition,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Bulletstorm Duke Of Switch Edition,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Burnout Legends,Great,Turnip 24.3.0 9v2,Sudachi,1.0,Some minor slowdowns but almost always above 50fps,Pocket 5
Burnout Paradise Remastered,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,Audio engine – cubeb,Pocket 5
Burnout Paradise Remastered,Great,Turnip 24.3.0 9v2,Sudachi,1.0,Not quite locked on 60FPS but plays smooth.,Pocket 5
Butcher,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Bzzzt,Perfect,Qualcomm 0.746.0,Citron,1.0,Plays perfectly,Pocket 5
Bzzzt,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps fun game!,Pocket 5
Cadence Of Hyrule: Crypt Of The Necrodancer,Perfect,Qualcomm 0.746.0,Yuzu,1.4.0,Perfect 60fps in docked mode,Pocket 5
Call Of Juarez: Gunslinger,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.3,"Mode: Handheld, 30FPS locked",Pocket 5
Capcom Fighting Collection 2,Perfect,Turnip 24.3.0 9v2,Citron,1.0.2,Docked 1x No issues Prod.Key 20+,Pocket 5
Captai,Great,Turnip 25.2.0 R9,Eden,1.3.0,Great. Playable up to 35 FPS,Pocket 5
Captain Toad: Treasure Tracker,Great,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Captain Toad: Treasure Tracker,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,"locked 60 fps, Plays great!",Pocket 5
Caravan Sandwich,Poor,Turnip 24.3.0 9v2,Citron,1.0,crashes on load,Pocket 5
Carrion,Perfect,Qualcomm 805,Sudachi,1.0,,Pocket 5
Carto,Perfect,Qualcomm 0.746.0,Yuzu,1.0.4,Perfect 60fps in docked mode,Pocket 5
Cassette Beasts,Great,Qualcomm 0.746.0,Yuzu,1.3.0,"1 DLC installed, almost perfect 30fps in handheld mode but threre are some dips, still a ery good experience.",Pocket 5
Castlestorm,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Default settings.,Pocket 5
Castlestorm 2,Poor,Turnip 24.3.0 9v2,Yuzu,1.2.0.0,"50 fps in main game at 0.75x handheld, 60 in arcade mode. Crashes after a minute.",Pocket 5
Castlevania Anniversary Collection,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked,Pocket 5
Castlevania Dominus Collection,Perfect,Turnip 24.3.0 9v2,Citron,1.1,,Pocket 5
Cat Quest,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked mode,Pocket 5
Cat Quest III,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Cat Quest III,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Catan Console Edition,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Catan Console Edition,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Catastronauts!,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Catherine: Full Body,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.1,,Pocket 5
Cave Story+,Perfect,Qualcomm 0.746.0,Yuzu,1.3,Perfect 60fps docked,Pocket 5
Cel Damage Hd,Poor,Qualcomm 0.746.0,Yuzu,1.0,Boots to a black screen on Yuzu and Sudachi with both drivers,Pocket 5
Celeste,Poor,Turnip 25.2.0 R9,Sudachi,1.4.0.0,Crashes when meeting the old man and first dialog starts,Pocket 5
Celeste,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0.0,,Pocket 5
Celeste,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.1,Perfect performance with no additional changes in the settings needed. 60 FPS.,Pocket 5
Celeste,Perfect,Turnip 24.3.0 9v2,Citron,1.4.1.1,,Pocket 5
Chained Echoes,Perfect,Qualcomm 0.746.0,Yuzu,1.31,Does not boot with Turnip 9v2,Pocket 5
Chicken Police,Playable,Qualcomm 0.746.0,Yuzu,1.0.3,A little choppy but its playable in docked mode,Pocket 5
Child Of Light Ultimate Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 60fps docked, looks amazing on OLED",Pocket 5
Chocobo Gp,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.4.1 + DLC,Yuzu 278 (dc529a89a) Runs at ~60fps docked Mays crash in the intro loop (just press A button to bypass) Works with other Turnips but not default / Qualcomm,Pocket 5
Choo-Choo Charles,Playable,Turnip 25.0.0 R5,Yuzu,1.0,Actually plays well in handheld mode but there is no audio and some isual glitches,Pocket 5
Chrono Cross – The Radical Dreamers Edition,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Circuit Superstars,Perfect,Qualcomm 0.746.0,Sudachi,1.0,"The game works perfectly after several championships. It has only frozen when I tried to close the emulator, and it got stuck. But the game was saved.”",Pocket 5
Citizen Sleeper,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Citizen Sleeper,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Civilization II,Great,Turnip 24.1.0 R18,Sudachi,1.0,"Needs the last Sudachi ersion, game loads and works great, but the map appears cloudy, but texts can be read",Pocket 5
Clubhouse Games,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Runs well in Standard performance mode,Pocket 5
Cluster Truck,Perfect,Qualcomm 0.746.0,Citron,1.0,Almost Perfect 60 FPS Docked in levels Some minor FPS dips occasionally Only low FPS in menu,Pocket 5
Cobalt Core,Poor,Qualcomm 0.746.0,Sudachi,1.0,Tried multiple drivers and settings. Hangs at the start up loading screen.,Pocket 5
Code Of Princess Ex,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Code Realize Wintertide Miracles,Perfect,Turnip 24.1.0 R18,Yuzu,1.0,"docked mode. 60fps most of the time except when recalling the log, but this is an issue i faced on official hardware as well. save often, game was prone to ery occasional crashes but switching to handheld mode might help. i never used skip text function, but i saw online people saying it would crash the game on official hardware so skip with caution.",Pocket 5
Coffee Talk,Perfect,Qualcomm 0.746.0,Yuzu,1.47,Perfect 60fps in docked mode,Pocket 5
Collection Of Mana,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect docked,Pocket 5
Commandos 2 – HD Remaster,Great,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Undocked Video precision : High Force max frequencies : Yes,Pocket 5
Commandos 3 – HD Remaster,Great,Turnip 24.3.0 9v2,Yuzu,v1.00.053,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Company Of Heroes,Great,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Contra Operation Galuga,Great,Turnip 24.3.0 9v2,Sudachi,1.0.882291,"Default settings. Locked 30 fps at 1x in arcade mode, crashes after defeating the first boss. In campaign mode, it crashes before the boss.",Pocket 5
Contra Operation Galuga,Great,Turnip 23.2.0,Citron,1.0,Some drops in FPS during startup and initial animation screen. But once the game is loaded I get a solid 30FPS for all game play as well as animation and dialog scenes. Borderline perfect.,Pocket 5
Core Keeper,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Update breaks the game and doesn’t run. Stay on base ersion. Turnip doesn’t work. Yuzu doesn’t work. Sudachi and Suyu offer same performance. Perfect 50-60 FPS (Game’s target is 30).,Pocket 5
Corpse Party,Perfect,Qualcomm 0.746.0,Yuzu,1.03,Perfect 60fps in docked mode,Pocket 5
Crash Bandicoot 4,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"2DLC, handheld mode, .75x resolution, gets 25-30fps ery fun on rp5",Pocket 5
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.1.0 R17,Citron,be191f740,"Most of the game runs perfect, but there are some small parts where it runs at ~10fps, so far I’ve seen this at the end of the bonus stages and whenever a specific enemy is on screen 1x (handheld) sync- immediate (off). Use asynchronous shaders – yes. CPU accuracy – unsafe.",Pocket 5
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.1.0 R18,Yuzu,1.0,it runs around 30 fps for most of it but did freeze in the second level of crash warped but that might be a one time thing,Pocket 5
Crash Bandicoot N. Sane Trilogy,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"0.75x Docked rendering (810p), Force maximum clocks and asynchronous shader set to on, rest default. RP5 in High Performance mode. Above gives solid and smooth 30fps (at least in 1st and 3rd part of the trilogy, I haven’t tested 2nd part yet).",Pocket 5
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.3.0 9v2,Skyline,1.0,Runs about 5-7 fps faster on Skyline,Pocket 5
Crash Bandicoot N. Sane Trilogy,Perfect,Turnip 24.1.0 R17,Sudachi,Latest,Vsync- immediate (off). Use asynchronous shaders – yes. CPU accuracy – unsafe.,Pocket 5
Crash Team Racing: Nitro-Fueled,Poor,Turnip 24.3.0 9v2,Citron,1.0,Crash at the start of the race,Pocket 5
Crash Team Racing: Nitro-Fueled,Perfect,Qualcomm 0.746.0,Skyline,1.0,"Docked mode, Force maximum clocks on and RP5 in High Performance gives smooth and stable 30fps",Pocket 5
Crash Team Racing: Nitro-Fueled,Great,Qualcomm 0.746.0,Skyline,1.0,"Updates/DLC not supported, 30fps in docked mode",Pocket 5
Crashlands,Perfect,Qualcomm 0.746.0,Sudachi,1.00.0.93.0,,Pocket 5
Crawl,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Creepy Tale,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Cris Tales,Great,Qualcomm 0.746.0,Yuzu,1.03,Perfect 30fps docked mode but some minor isual and audio glitches,Pocket 5
Crisis Core: Final Fantasy II Reunion,Great,Turnip 24.3.0 9v2,Citron,1.0.1,"Handheld Mode Accuracy Level : High Disk Shader Cache : On Force Maximum Clocks : On Use Async Shaders : On Audio : Cubeb Prologue is a little bit choppy at 18-30fps, but after the whole thing ran at 28-30 fps. Only thing that holds this back is intermittent blooming issues. I’ve been having trouble using cheats on Citron, but if anyone could help itd be greatly appreciated bc i have 30fps, no bloom, and no dof cheats that would definitely change htis from great to perfect",Pocket 5
Crosscode,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,"Played 2h, super smooth",Pocket 5
Crow Country,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Crow Country,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Crown Trick,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,"Perfect 60fps docked, looks great",Pocket 5
Cruis’n Blast,Perfect,Turnip 24.3.0 9v2,Sudachi,1.07,"Did one race, stable 60fps docked, put the unit in sleep for 45 mins mid-race",Pocket 5
Cruis’n Blast,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Crumble,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Crymachina,Perfect,Turnip 24.3.0 9v2,Sudachi,1.2.0,"Locked 30FPS in handheld mode, set graphics accuracy to high.",Pocket 5
Crypt Custodian,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Crypt Custodian,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Crysis Remastered,Poor,Qualcomm 0.746.0,Yuzu,1.7.0,Neither driver work both boot to menu but crash when game starts,Pocket 5
Crystal Breaker,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Ctr: Nitro Fueled,Perfect,Turnip 24.2.0 R19,Sudachi,1.0.15,game crashes before I can even start a race on a loading screen. If I go pass the loading (sometimes it happens) I just see a black screen,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Citron,1.4.5 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Suyu,1.0,Sudachi with 9v2 didn’t work,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Yuzu,1.4.6,60fps! Docked mode @ mostly 60fps with dips when entering rooms.,Pocket 5
Cuphead,Perfect,Qualcomm 0.746.0,Yuzu,1.2.5,Perfect 60fps docked,Pocket 5
Cuphead In The Delicious Last Course,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.7,,Pocket 5
Curse Of The Dead Gods,Playable,Turnip 24.3.0 9v2,Citron,1.0,"0.75x Resolution, Docked for almost constant 30 FPS. Occasionally crashes, some minor graphical issues",Pocket 5
Cursed To Golf,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Cyberage,Perfect,GPU 0.746.0 Qualcomm,Citron,1.0,,Pocket 5
Dadish,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Dadish 3D,Great,Qualcomm 0.746.0,Yuzu,1.0,"40-60fps n slowdown runs great, slightly better framerates in handheld",Pocket 5
Danganronpa: Trigger Happy Havoc Anniversary Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60 docked,Pocket 5
Dark Devotion,Poor,Qualcomm 0.746.0,Yuzu,1.0,Boots to black screen on Yuzu and Sudachi with both drivers,Pocket 5
Dark Souls 1,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,"Needs a graphics fix, run in handheld mode or you will get gfx glitches (can’t see items on the ground etc.)",Pocket 5
Dark Souls Remastered,Great,Turnip 24.3.0 9v2,Sudachi,Updated and Patched to fix the low light issues,"Occasional crashing (maybe once an hour or so), but performance is otherwise good.",Pocket 5
Darkest Dungeon II,Playable,Qualcomm 0.746.0,Sudachi,1.0,(playable docked if you start a game in handheld first),Pocket 5
Darkest Dungeon II,Playable,Qualcomm 0.746.0,Yuzu,1.0,loading can be slow,Pocket 5
Darksiders I,Playable,Turnip 24.3.0 9v2,Citron,1.0,Somehow almost worse than Darksiders II,Pocket 5
Darksiders II,Playable,Turnip 24.3.0 9v2,Citron,1.0,"It’s amazing that it even runs, but it has tons of painful stuttering and FPS dips constantly throughout the gameplay. Playable, but Painful",Pocket 5
Darksiders Warmastered Edition,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,.5x resolution handheld mode 30fps for opening scene then drops to 11 then to 5,Pocket 5
Darkwood,Perfect,Qualcomm,Sudachi,1.0.5,,Pocket 5
Date Everything!,Perfect,default,Yuzu,1.0,Prologue can crash if mashed through. Bit slow but fully functional.,Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,v1.0.4.1040,"Stable gameplay at 30 FPS in Docked Mode. Resolution set to 1× (1080p) for better performance and native fidelity. FIFO sync mode enabled to prevent screen tearing. Window Adaptation Filter set to Bicubic for smoother visuals, with FSR Sharpness at 10% for subtle image enhancement. FXAA anti-aliasing and 2× anisotropic filtering ensure clean visuals. Disk shader cache, asynchronous shaders, and reactive flushing enabled for maximum stability. Force Max Clocks disabled. No significant FPS drops experienced.",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,v1.0.3.978 + DLC,"Great gameplay at 30 FPS with occasional frame drops to 22-25 FPS at certain mid-game locales. Docked mode ON, 1 x Resolution, Sync Mode ON, Asynchronous shaders ON, Disk Shader Cache ON. I tried this on Citron 0.6 and the latest Sudachi (March 2025), and latest Yuzu with stock drivers seems to perform the most stable with no 0.0 FPS bugs or erratic stutters",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Sudachi,v1.0.3.972 w/ DLC,"Game is packed into an XCI with the newest update and DLC. I am using keys and firmware 19.0.0. Using docked mode because the switch ersion is capped at 30fps. undocked instills some blur to text, use AMD fidelity if you prefer undocked.",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,Latest update + DLC,30fps with occasional stutters but overall nothing that hinders gameplay. Docked mode ON; 1x Resolution; Sync Mode ON; Asynchronous shaders ON; Disk shader Chache ON; Force Max Clocks ON;,Pocket 5
Dave The Diver,Playable,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Dave The Diver,Perfect,Turnip 23.2.0,Yuzu,v1.0.3.972 AND DLC,Using latest prod keys and firmware. Docked with asychronous shaders ON.,Pocket 5
Dawn Of The Monsters,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 30fps docked,Pocket 5
Dead Cells,Perfect,Turnip 24.3.0 9v2,Citron,1.23.2 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On If Audio Is Stuttering/Crackling Change Output To cubeb Everything Else Default.,Pocket 5
Dead Cells,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Dead Cells,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Dead Cells,Perfect,Turnip 24.3.0 9v2,Yuzu,1.25.0,Play amazing,Pocket 5
Dead End Job,Perfect,Qualcomm 0.746.0,Yuzu,1.0.5,Perfect 60fps in docked mode,Pocket 5
Death Elevator 2,Poor,Turnip 24.3.0 9v2,Suyu,1.0,Wont start,Pocket 5
Death Mark,Perfect,Turnip 24.3.0 9v2,Citron,1.02,It’s a isual novel so not intensive. Seems to be running perfectly.,Pocket 5
Death Tales,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Death’s Door,Perfect,Turnip 24.3.0 9v2,Citron,1.1.6,Citron 0.4 Mainline (be191f740) (Havent tried the “optimized”) Locked 30fps 1x Res. Handheld mode (720p) Everything default so far Played to the first boss,Pocket 5
Death’s Gambit: Afterlife,Perfect,Qualcomm 0.746.0,Yuzu,1.0.6,Perfect 60fps docked,Pocket 5
Deemo -Reborn-,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.3,Freezes before getting in game on Yuzu and Sudachi,Pocket 5
Deltarune,Perfect,Qualcomm 0.746.0,Sudachi,1.0,"If audio glitching, use cubeb audio output engine",Pocket 5
Deltarune,Perfect,Turnip 24.3.0 9v2,Citron,1.00a,1X docked. Works great. Played around 5 hours so far.,Pocket 5
Demon Turf,Playable,Qualcomm 0.746.0,Sudachi,1.1,FPS is between 15-30 but it actually feels ery good art style makes FPS not a problem imo,Pocket 5
Demon’s Tilt,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3,Handheld mode Run at 90% CPU for stability,Pocket 5
Destroy All Humans!,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Destroy All Humans!,Poor,Qualcomm 0.746.0,Yuzu,1.0.1,No luck in Yuzu or Sudachi with either driver,Pocket 5
Destroy All Humans!,Playable,Turnip 24.3.4-Unified (@Mr_Purple_666),Yuzu,1.0,"Technically runs, around 20-30 fps. 1x Rez, mailbox, shaders on and max clock. Not a great experience for such a great game.",Pocket 5
Detective Pikachu Returns,Poor,Qualcomm 0.746.0,Sudachi,1.0,Needs default driver to work. Works flawlessly until the Jewel mission where it crashes when you go to the second floor of the mansion.,Pocket 5
Detective Pikachu Returns,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Needs default driver to work,Pocket 5
Devil Engine Complete Edition,Perfect,Turnip 24.3.0 9v2,Sudachi,1.03,,Pocket 5
Devil May Cry 1,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Devil May Cry 3 Special Edition,Great,Qualcomm 0.746.0,Yuzu,1.0.1,Almost perfect in docked mode just has an audio delay during cutscenes that does not effect gameplay,Pocket 5
Dex,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60dps docked,Pocket 5
Diablo 2: Resurrected,Playable,Qualcomm 0.746.0,Citron,1.0.3.0,You need the specific “Offline file” for your update-file to update the game. Install the “Offline file” as a mod. Load the exefs folder and it should install.,Pocket 5
Diablo 3: Eternal Collection,Perfect,Turnip 24.3.0 9v2,Eden,1.0,No issues first 10 mins of game. 60 fps default settings,Pocket 5
Diablo 3: Eternal Collection,Perfect,Turnip 24.3.0 9v2,Yuzu,2.7.7.92380,,Pocket 5
